Group_Combined,Group,Subgroup,Year,Metric,Value
"School of Business — (""emergency"") appointment. Numbers do not necessarily reflect the number of faculty lines.Fall",School of Business,"(""emergency"") appointment. Numbers do not necessarily reflect the number of faculty lines.Fall",2019,Full-Time Teaching Faculty (N),2022
"School of Business — (""emergency"") appointment. Numbers do not necessarily reflect the number of faculty lines.Fall",School of Business,"(""emergency"") appointment. Numbers do not necessarily reflect the number of faculty lines.Fall",2020,Full-Time Teaching Faculty (N),2021
"School of Business — (""emergency"") appointment. Numbers do not necessarily reflect the number of faculty lines.Fall",School of Business,"(""emergency"") appointment. Numbers do not necessarily reflect the number of faculty lines.Fall",2021,Full-Time Teaching Faculty (N),2024
"School of Business — (""emergency"") appointment. Numbers do not necessarily reflect the number of faculty lines.Fall",School of Business,"(""emergency"") appointment. Numbers do not necessarily reflect the number of faculty lines.Fall",2022,Full-Time Teaching Faculty (N),2019
"School of Business — (""emergency"") appointment. Numbers do not necessarily reflect the number of faculty lines.Fall",School of Business,"(""emergency"") appointment. Numbers do not necessarily reflect the number of faculty lines.Fall",2023,Full-Time Teaching Faculty (N),2020
"School of Business — (""emergency"") appointment. Numbers do not necessarily reflect the number of faculty lines.Fall",School of Business,"(""emergency"") appointment. Numbers do not necessarily reflect the number of faculty lines.Fall",2024,Full-Time Teaching Faculty (N),2023
School of Education — Curriculum & Instruction,School of Education,Curriculum & Instruction,2019,Full-Time Teaching Faculty (N),
School of Education — Curriculum & Instruction,School of Education,Curriculum & Instruction,2020,Full-Time Teaching Faculty (N),
School of Education — Curriculum & Instruction,School of Education,Curriculum & Instruction,2021,Full-Time Teaching Faculty (N),
School of Education — Curriculum & Instruction,School of Education,Curriculum & Instruction,2022,Full-Time Teaching Faculty (N),4
School of Education — Curriculum & Instruction,School of Education,Curriculum & Instruction,2023,Full-Time Teaching Faculty (N),3
School of Education — Curriculum & Instruction,School of Education,Curriculum & Instruction,2024,Full-Time Teaching Faculty (N),3
School of Education — Educational Leadership & Instructional Technology,School of Education,Educational Leadership & Instructional Technology,2019,Full-Time Teaching Faculty (N),14
School of Education — Educational Leadership & Instructional Technology,School of Education,Educational Leadership & Instructional Technology,2020,Full-Time Teaching Faculty (N),13
School of Education — Educational Leadership & Instructional Technology,School of Education,Educational Leadership & Instructional Technology,2021,Full-Time Teaching Faculty (N),12
School of Education — Educational Leadership & Instructional Technology,School of Education,Educational Leadership & Instructional Technology,2022,Full-Time Teaching Faculty (N),8
School of Education — Educational Leadership & Instructional Technology,School of Education,Educational Leadership & Instructional Technology,2023,Full-Time Teaching Faculty (N),9
School of Education — Educational Leadership & Instructional Technology,School of Education,Educational Leadership & Instructional Technology,2024,Full-Time Teaching Faculty (N),10
"School of Education — Literacy, Elementary & Early Childhood Education",School of Education,"Literacy, Elementary & Early Childhood Education",2019,Full-Time Teaching Faculty (N),11
"School of Education — Literacy, Elementary & Early Childhood Education",School of Education,"Literacy, Elementary & Early Childhood Education",2020,Full-Time Teaching Faculty (N),10
"School of Education — Literacy, Elementary & Early Childhood Education",School of Education,"Literacy, Elementary & Early Childhood Education",2021,Full-Time Teaching Faculty (N),10
"School of Education — Literacy, Elementary & Early Childhood Education",School of Education,"Literacy, Elementary & Early Childhood Education",2022,Full-Time Teaching Faculty (N),10
"School of Education — Literacy, Elementary & Early Childhood Education",School of Education,"Literacy, Elementary & Early Childhood Education",2023,Full-Time Teaching Faculty (N),8
"School of Education — Literacy, Elementary & Early Childhood Education",School of Education,"Literacy, Elementary & Early Childhood Education",2024,Full-Time Teaching Faculty (N),9
School of Education — Special Education & Interventions,School of Education,Special Education & Interventions,2019,Full-Time Teaching Faculty (N),8
School of Education — Special Education & Interventions,School of Education,Special Education & Interventions,2020,Full-Time Teaching Faculty (N),8
School of Education — Special Education & Interventions,School of Education,Special Education & Interventions,2021,Full-Time Teaching Faculty (N),7
School of Education — Special Education & Interventions,School of Education,Special Education & Interventions,2022,Full-Time Teaching Faculty (N),6
School of Education — Special Education & Interventions,School of Education,Special Education & Interventions,2023,Full-Time Teaching Faculty (N),6
School of Education — Special Education & Interventions,School of Education,Special Education & Interventions,2024,Full-Time Teaching Faculty (N),6
School of Education — Total,School of Education,Total,2019,Full-Time Teaching Faculty (N),33
School of Education — Total,School of Education,Total,2020,Full-Time Teaching Faculty (N),31
School of Education — Total,School of Education,Total,2021,Full-Time Teaching Faculty (N),29
School of Education — Total,School of Education,Total,2022,Full-Time Teaching Faculty (N),28
School of Education — Total,School of Education,Total,2023,Full-Time Teaching Faculty (N),26
School of Education — Total,School of Education,Total,2024,Full-Time Teaching Faculty (N),28
School of Education — Numbers do not necessarily reflect the number of faculty lines.Fall,School of Education,Numbers do not necessarily reflect the number of faculty lines.Fall,2019,Full-Time Teaching Faculty (N),
School of Education — Numbers do not necessarily reflect the number of faculty lines.Fall,School of Education,Numbers do not necessarily reflect the number of faculty lines.Fall,2020,Full-Time Teaching Faculty (N),2024
School of Education — Numbers do not necessarily reflect the number of faculty lines.Fall,School of Education,Numbers do not necessarily reflect the number of faculty lines.Fall,2021,Full-Time Teaching Faculty (N),2023
School of Education — Numbers do not necessarily reflect the number of faculty lines.Fall,School of Education,Numbers do not necessarily reflect the number of faculty lines.Fall,2022,Full-Time Teaching Faculty (N),2022
School of Education — Numbers do not necessarily reflect the number of faculty lines.Fall,School of Education,Numbers do not necessarily reflect the number of faculty lines.Fall,2023,Full-Time Teaching Faculty (N),2020
School of Education — Numbers do not necessarily reflect the number of faculty lines.Fall,School of Education,Numbers do not necessarily reflect the number of faculty lines.Fall,2024,Full-Time Teaching Faculty (N),2019
College of Health Rehabilitation Services — Counselor Education & Family Therapy,College of Health Rehabilitation Services,Counselor Education & Family Therapy,2019,Full-Time Teaching Faculty (N),9
College of Health Rehabilitation Services — Counselor Education & Family Therapy,College of Health Rehabilitation Services,Counselor Education & Family Therapy,2020,Full-Time Teaching Faculty (N),9
College of Health Rehabilitation Services — Counselor Education & Family Therapy,College of Health Rehabilitation Services,Counselor Education & Family Therapy,2021,Full-Time Teaching Faculty (N),8
College of Health Rehabilitation Services — Counselor Education & Family Therapy,College of Health Rehabilitation Services,Counselor Education & Family Therapy,2022,Full-Time Teaching Faculty (N),9
College of Health Rehabilitation Services — Counselor Education & Family Therapy,College of Health Rehabilitation Services,Counselor Education & Family Therapy,2023,Full-Time Teaching Faculty (N),9
College of Health Rehabilitation Services — Counselor Education & Family Therapy,College of Health Rehabilitation Services,Counselor Education & Family Therapy,2024,Full-Time Teaching Faculty (N),9
College of Health Rehabilitation Services — Nurse Anesthesia Practice,College of Health Rehabilitation Services,Nurse Anesthesia Practice,2019,Full-Time Teaching Faculty (N),
College of Health Rehabilitation Services — Nurse Anesthesia Practice,College of Health Rehabilitation Services,Nurse Anesthesia Practice,2020,Full-Time Teaching Faculty (N),
College of Health Rehabilitation Services — Nurse Anesthesia Practice,College of Health Rehabilitation Services,Nurse Anesthesia Practice,2021,Full-Time Teaching Faculty (N),
College of Health Rehabilitation Services — Nurse Anesthesia Practice,College of Health Rehabilitation Services,Nurse Anesthesia Practice,2022,Full-Time Teaching Faculty (N),
College of Health Rehabilitation Services — Nurse Anesthesia Practice,College of Health Rehabilitation Services,Nurse Anesthesia Practice,2023,Full-Time Teaching Faculty (N),
College of Health Rehabilitation Services — Nurse Anesthesia Practice,College of Health Rehabilitation Services,Nurse Anesthesia Practice,2024,Full-Time Teaching Faculty (N),6
College of Health Rehabilitation Services — Nursing,College of Health Rehabilitation Services,Nursing,2019,Full-Time Teaching Faculty (N),9
College of Health Rehabilitation Services — Nursing,College of Health Rehabilitation Services,Nursing,2020,Full-Time Teaching Faculty (N),9
