Group_Combined,Group,Subgroup,Year,Metric,Value
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2018,Headcount (N),977
Grand Total — Other,Grand Total,Other,2018,Headcount (N),626
Grand Total — Total,Grand Total,Total,2018,Headcount (N),1603
Graduate Assistants — All,Graduate Assistants,All,2018,Graduate Assistants (N),68
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2019,Headcount (N),440
Full-Time — Other,Full-Time,Other,2019,Headcount (N),520
Full-Time — Total,Full-Time,Total,2019,Headcount (N),960
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2019,Headcount (N),541
Part-Time — Other,Part-Time,Other,2019,Headcount (N),125
Part-Time — Total,Part-Time,Total,2019,Headcount (N),666
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2019,Headcount (N),981
Grand Total — Other,Grand Total,Other,2019,Headcount (N),645
Grand Total — Total,Grand Total,Total,2019,Headcount (N),1626
Graduate Assistants — All,Graduate Assistants,All,2019,Graduate Assistants (N),67
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2020,Headcount (N),428
Full-Time — Other,Full-Time,Other,2020,Headcount (N),518
Full-Time — Total,Full-Time,Total,2020,Headcount (N),946
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2020,Headcount (N),472
Part-Time — Other,Part-Time,Other,2020,Headcount (N),126
Part-Time — Total,Part-Time,Total,2020,Headcount (N),598
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2020,Headcount (N),900
Grand Total — Other,Grand Total,Other,2020,Headcount (N),644
Grand Total — Total,Grand Total,Total,2020,Headcount (N),1544
Graduate Assistants — All,Graduate Assistants,All,2020,Graduate Assistants (N),51
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2021,Headcount (N),416
Full-Time — Other,Full-Time,Other,2021,Headcount (N),489
Full-Time — Total,Full-Time,Total,2021,Headcount (N),905
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2021,Headcount (N),432
Part-Time — Other,Part-Time,Other,2021,Headcount (N),97
Part-Time — Total,Part-Time,Total,2021,Headcount (N),529
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2021,Headcount (N),848
Grand Total — Other,Grand Total,Other,2021,Headcount (N),586
Grand Total — Total,Grand Total,Total,2021,Headcount (N),1434
Graduate Assistants — All,Graduate Assistants,All,2021,Graduate Assistants (N),46
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2022,Headcount (N),392
Full-Time — Other,Full-Time,Other,2022,Headcount (N),484
Full-Time — Total,Full-Time,Total,2022,Headcount (N),876
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2022,Headcount (N),438
Part-Time — Other,Part-Time,Other,2022,Headcount (N),89
Part-Time — Total,Part-Time,Total,2022,Headcount (N),527
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2022,Headcount (N),830
Grand Total — Other,Grand Total,Other,2022,Headcount (N),573
Grand Total — Total,Grand Total,Total,2022,Headcount (N),1403
Graduate Assistants — All,Graduate Assistants,All,2022,Graduate Assistants (N),42
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2023,Headcount (N),409
Full-Time — Other,Full-Time,Other,2023,Headcount (N),522
Full-Time — Total,Full-Time,Total,2023,Headcount (N),931
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2023,Headcount (N),458
Part-Time — Other,Part-Time,Other,2023,Headcount (N),88
Part-Time — Total,Part-Time,Total,2023,Headcount (N),546
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2023,Headcount (N),867
Grand Total — Other,Grand Total,Other,2023,Headcount (N),610
Grand Total — Total,Grand Total,Total,2023,Headcount (N),1477
Graduate Assistants — All,Graduate Assistants,All,2023,Graduate Assistants (N),53
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2024,Headcount (N),411
Full-Time — Other,Full-Time,Other,2024,Headcount (N),539
Full-Time — Total,Full-Time,Total,2024,Headcount (N),950
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2024,Headcount (N),479
Part-Time — Other,Part-Time,Other,2024,Headcount (N),95
Part-Time — Total,Part-Time,Total,2024,Headcount (N),574
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2024,Headcount (N),890
Grand Total — Other,Grand Total,Other,2024,Headcount (N),634
Grand Total — Total,Grand Total,Total,2024,Headcount (N),1524
Graduate Assistants — All,Graduate Assistants,All,2024,Graduate Assistants (N),46
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2024,Percent Change — 1 Year,0.5
Full-Time — Other,Full-Time,Other,2024,Percent Change — 1 Year,3
Full-Time — Total,Full-Time,Total,2024,Percent Change — 1 Year,2
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2024,Percent Change — 1 Year,5
Part-Time — Other,Part-Time,Other,2024,Percent Change — 1 Year,8
Part-Time — Total,Part-Time,Total,2024,Percent Change — 1 Year,5
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2024,Percent Change — 1 Year,3
Grand Total — Other,Grand Total,Other,2024,Percent Change — 1 Year,4
Grand Total — Total,Grand Total,Total,2024,Percent Change — 1 Year,3
Graduate Assistants — All,Graduate Assistants,All,2024,Percent Change — 1 Year,-13
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2024,Percent Change — 5 Years,-7
Full-Time — Other,Full-Time,Other,2024,Percent Change — 5 Years,4
Full-Time — Total,Full-Time,Total,2024,Percent Change — 5 Years,-1
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2024,Percent Change — 5 Years,-11
Part-Time — Other,Part-Time,Other,2024,Percent Change — 5 Years,-24
Part-Time — Total,Part-Time,Total,2024,Percent Change — 5 Years,-14
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2024,Percent Change — 5 Years,-9
Grand Total — Other,Grand Total,Other,2024,Percent Change — 5 Years,-2
Grand Total — Total,Grand Total,Total,2024,Percent Change — 5 Years,-6
Graduate Assistants — All,Graduate Assistants,All,2024,Percent Change — 5 Years,-31
Full-Time — Instructional Faculty,Full-Time,Instructional Faculty,2024,Percent Change — 10 Years,-9
Full-Time — Other,Full-Time,Other,2024,Percent Change — 10 Years,3
Full-Time — Total,Full-Time,Total,2024,Percent Change — 10 Years,-2
Part-Time — Instructional Faculty,Part-Time,Instructional Faculty,2024,Percent Change — 10 Years,-4
Part-Time — Other,Part-Time,Other,2024,Percent Change — 10 Years,-24
Part-Time — Total,Part-Time,Total,2024,Percent Change — 10 Years,-8
Grand Total — Instructional Faculty,Grand Total,Instructional Faculty,2024,Percent Change — 10 Years,-7
Grand Total — Other,Grand Total,Other,2024,Percent Change — 10 Years,-2
Grand Total — Total,Grand Total,Total,2024,Percent Change — 10 Years,-5
Graduate Assistants — All,Graduate Assistants,All,2024,Percent Change — 10 Years,-42
