,,,,,,,,,,,,,,,,,,,,,,,,,,Total All Students,,,,,,,,,Description,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Gender,,,,,,M,,,W,,,All,,,"In Spring 2025, the university enrolled 2,319 students overall, with women (W) outnumbering men (M). CLASS (College of Liberal Arts & Social Sciences) enrolled 703 students, SEST (School of Engineering, Science, & Technology) had 608, BS (School of Business) had 455, CHRS (College of Health & Rehabilitation Sciences) enrolled 293, and ED (School of Education) had 260. Degree codes include BA/BS (Bachelor of Arts/Science), MA/MS (Master of Arts/Science), MBA (Master of Business Administration), BGS (Bachelor of General Studies), ED.D (Doctor of Education), DNAP (Doctor of Nurse Anesthesia Practice), GRADCERT/OCP (Graduate or Post-BA Certificate), and SYC/PM CERT (Sixth Year/Post-Master’s Certificate).",,,,,,,,,,,,
School,,Program Name,,,Degree_,,,,,,Degreecde,,,,,,OHEcde,,,Cip2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEST,,Mathematics,,,Bachelors,,,,,,BA,,,,,,00084,,,270101,,,,,,12,,,7,,,19,,,,,,,,,,,,,,,
SEST,,Mathematics,,,Bachelors,,,,,,BS_Teach,,,,,,00084,,,270101,,,,,,3,,,1,,,4,,,,,,,,,,,,,,,
SEST,,Mathematics,,,Master's,,,,,,MA,,,,,,00085,,,270101,,,,,,2,,,1,,,3,,,,,,,,,,,,,,,
SEST,,Mathematics,,,Master's,,,,,,MS,,,,,,00085,,,270101,,,,,,3,,,4,,,7,,,,,,,,,,,,,,,
SEST,,Mathematics,,,Post-BA-Cert,,,,,,GRADCERT,,,,,,10606,,,270101,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
SEST,,Mechanical Engineering,,,Bachelors,,,,,,BS,,,,,,14202,,,141901,,,,,,34,,,12,,,46,,,,,,,,,,,,,,,
SEST,,Mechanical Engineering,,,Master's,,,,,,MS,,,,,,19967,,,141901,,,,,,3,,,,,,3,,,,,,,,,,,,,,,
SEST,,Mechanical Engineering Technology,,,Bachelors,,,,,,BS,,,,,,02813,,,150805,,,,,,27,,,2,,,29,,,,,,,,,,,,,,,
SEST,,Networking Information Technology,,,Bachelors,,,,,,BS,,,,,,17364,,,111001,,,,,,13,,,2,,,15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Total All Students,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Gender,,,,,,M,,,W,,,All,,,,,,,,,,,,,,,
School,,Program Name,,,Degree_,,,,,,Degreecde,,,,,,OHEcde,,,Cip2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEST,,Physics,,,Bachelors,,,,,,BS,,,,,,00094,,,400801,,,,,,5,,,2,,,7,,,,,,,,,,,,,,,
SEST,,Physics,,,Bachelors,,,,,,BS_Teach,,,,,,00094,,,400801,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
SEST,,Pre-Health Studies,,,Post-BA-Cert,,,,,,OCP,,,,,,10169,,,511199,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
SEST,,Robotics/Mechatronics Engineering Technology,,,Bachelors,,,,,,BS,,,,,,16962,,,150405,,,,,,4,,,1,,,5,,,,,,,,,,,,,,,
SEST,,"Science, Technology, Engineering and Math Education",,,Master's,,,,,,MS,,,,,,17396,,,131309,,,,,,2,,,3,,,5,,,,,,,,,,,,,,,
SEST,,Software Engineering,,,Master's,,,,,,MS,,,,,,18966,,,140903,,,,,,6,,,1,,,7,,,,,,,,,,,,,,,
SEST,,Supply Chain and Logistics,,,Post-BA-Cert,,,,,,OCP,,,,,,14634,,,520203,,,,,,3,,,4,,,7,,,,,,,,,,,,,,,
SEST,,Supply Chain Logistics Management,,,Master's,,,,,,MS,,,,,,19544,,,521301,,,,,,8,,,4,,,12,,,,,,,,,,,,,,,
SEST,,Technology and Engineering Ed K-12,,,Bachelors,,,,,,BS_Teach,,,,,,00058,,,131309,,,,,,4,,,,,,4,,,,,,,,,,,,,,,
