,,,,,,Year,2020-21,2021-22,2022-23,2023-24,2024-25,,,Description,,,,,,,,,,,,,,,,
BS,Supply Chain Analytics,Total,Total,Total,Total,Total,3,1,,,,,,,,,,,,,,,,,,,,,,
BS,Total,Total,Total,Total,Total,Total,544,452,506,443,455,,,,,,,,,,,,,,,,,,,
ED,Early Childhood and Infant/Toddler Mental Health,,Bachelors,BS,19028,131210,6,10,10,18,14,,,,,,,,,,,,,,,,,,,
ED,Early Childhood and Infant/Toddler Mental Health,Total,Total,Total,Total,Total,6,10,10,18,14,,,,,,,,,,,,,,,,,,,
ED,Educational Leadership,,Post-MA-Cert,SYC,02597,130401,88,87,101,108,92,,,,,,,,,,,,,,,,,,,
ED,Educational Leadership,Higher Education Track - EDD,Doctoral,ED.D,09981,130401,4,6,3,1,5,,,,,,,,,,,,,,,,,,,
ED,Educational Leadership,PreK-12 Track - EDD,Doctoral,ED.D,09981,130401,11,8,13,10,14,,,,,,,,,,,,,,,,,,,
ED,Educational Leadership,Total,Total,Total,Total,Total,103,101,117,119,111,,,,,,,,,,,,,,,,,,,
ED,Educational Technology,,Master's,MS,00045,130501,12,7,11,18,8,,,,,,,,,,,,,,,,,,,
ED,Educational Technology,Total,Total,Total,Total,Total,12,7,11,18,8,,,,,,,,,,,,,,,,,,,
ED,Elementary Education,,Bachelors,BS_Teach,00050,131202,59,34,52,39,41,,,,,,,,,,,,,,,,,,,
ED,Elementary Education,,Post-BA-Cert,GRADCERT,10181,131202,1,,1,3,2,,,,,,,,,,,,,,,,,,,
ED,Elementary Education,Biology (EL),Bachelors,BS_Teach,00050,131202,1,1,2,2,2,,,,,,,,,,,,,,,,,,,
ED,Elementary Education,Earth Science (EL),Bachelors,BS_Teach,00050,131202,2,,1,4,3,,,,,,,,,,,,,,,,,,,
ED,Elementary Education,Total,Total,Total,Total,Total,63,35,56,48,48,,,,,,,,,,,,,,,,,,,
ED,General Studies,,Bachelors,BGS,20405,240102,,5,5,6,5,,,,,,,,,,,,,,,,,,,
ED,General Studies,Total,Total,Total,Total,Total,,5,5,6,5,,,,,,,,,,,,,,,,,,,
ED,Reading and Language Arts,,Master's,MS,00066,131315,18,12,16,17,18,,,,,,,,,,,,,,,,,,,
ED,Reading and Language Arts,,Post-MA-Cert,PM CERT,10607,131315,2,,3,,,,,,,,,,,,,,,,,,,,,
ED,Reading and Language Arts,,Post-MA-Cert,SYC,00067,131315,26,6,8,11,14,,,,,,,,,,,,,,,,,,,
ED,Reading and Language Arts,Total,Total,Total,Total,Total,46,18,27,28,32,,,,,,,,,,,,,,,,,,,
ED,Special Education,For Special Education Teachers,Master's,MS,00048,131001,4,4,2,,,,,,,,,,,,,,,,,,,,,
ED,Special Education,Inclusion & Transition (SPED),Master's,MS,00048,131001,2,2,7,1,3,,,,,,,,,,,,,,,,,,,
ED,Special Education,Initial Certification,Master's,MS,00048,131001,,,,,15,,,,,,,,,,,,,,,,,,,
